animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,habitat
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,3
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
Buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,3
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,4,1 
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,1,3
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,3
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
Clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,3
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,1
Crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,3
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,1
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2 
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,2,3
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
Flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,2,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,3 
Frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,5,3
Frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,5,3
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,2
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
Girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,1,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,3
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,1,3
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,1
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,1,3
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,3
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,6,1
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2,3
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6,2
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,1
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
Mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,3
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3 
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,2
Newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,3
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,1
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,3
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,3
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,3
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,3
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,3
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,1
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,1
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,3
Platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,3
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,3
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,3
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,3
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,3
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,3
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,1
Seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1
Sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,1
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,1
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,1
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,3
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,1
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,1
Swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,1
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,3
Toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,3
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,1
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,2
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,3
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,3
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,2
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2